Sample	DB	gene	allele	coverage	depth	diffs	uncertainty	divergence	length	maxMAF	clusterid	seqid	annotation
reads	srst2	mdtL	mdtL.3001215.U00096.3891614-3892790.621	100.0	9.44	19snp		1.616	1176	0.143	621	1889	mdtL.3001215.U00096.3891614_3892790.621
reads	srst2	marA	marA.3000263.NC-007779.1621287-1621671.579	91.927	2.017	5snp31holes	edge0.0	1.416	384	0.5	606	1874	marA.3000263.NC_007779.1621287_1621671.579
reads	srst2	gyrA-7	gyrA.3003294.U00096.2336792-2339420.2052	100.0	9.17	34snp	edge1.0	1.294	2628	0.333	569	1821	gyrA.3003294.U00096.2336792_2339420.2052
reads	srst2	gyrB-1	gyrB.3003303.AP009048.3760295-3762710.2063	100.0	11.416	22snp		0.911	2415	0.25	573	1835	gyrB.3003303.AP009048.3760295_3762710.2063
reads	srst2	gadE	gadE.3003834.NC-000913.3.3658365-3658893.3597	100.0	5.25		edge1.0	0.0	528	0.333	554	1815	gadE.3003834.NC_000913.3.3658365_3658893.3597
reads	srst2	rpoB	rpoB.3003288.NC-002695.4990140-4994169.2096	100.0	11.568	39snp		0.968	4029	0.2	760	2045	rpoB.3003288.NC_002695.4990140_4994169.2096
reads	srst2	gadX	gadX.3000508.NC-007779.3974604-3975429.615	100.0	6.496	18snp	edge2.0	2.182	825	0.5	556	1817	gadX.3000508.NC_007779.3974604_3975429.615
reads	srst2	rrsB+	rrsC.3003333.U00096.3941808-3943349.3229	100.0	69.803	1snp		0.065	1542	0.446	766	2070	rrsC.3003333.U00096.3941808_3943349.3229
reads	srst2	marR	marR.3003378.U00096.1619119-1619554.2097	93.103	4.2	9snp30holes	edge2.0	2.222	435	0.5	607	1875	marR.3003378.U00096.1619119_1619554.2097
reads	srst2	nfsA	nfsA.3003751.NC-000913.3.891183-891906.3520	98.064	5.61	7snp14holes	edge0.0	0.987	723	0.222	702	1977	nfsA.3003751.NC_000913.3.891183_891906.3520
reads	srst2	acrF	acrF.3000502.U00096.3415032-3418137.700	99.71	10.543	39snp9holes	edge1.0	1.26	3105	0.5	393	1609	acrF.3000502.U00096.3415032_3418137.700
reads	srst2	acrE	acrE.3000499.U00096.3413863-3415021.333	99.223	8.735	14snp9holes	edge2.0	1.218	1158	0.286	392	1608	acrE.3000499.U00096.3413863_3415021.333
reads	srst2	acrD	acrD.3000491.NC-007779.2586250-2589364.664	99.936	8.162	28snp2holes	edge1.0	0.9	3114	0.2	391	1607	acrD.3000491.NC_007779.2586250_2589364.664
reads	srst2	acrS	acrS.3000656.U00096.3412802-3413465.551	100.0	6.97	8snp		1.207	663	0.2	397	1613	acrS.3000656.U00096.3412802_3413465.551
reads	srst2	acrR-2	acrR.3003807.NC-000913.3.485760-486408.3575	100.0	6.867	4snp	edge1.0	0.617	648	0.5	396	1612	acrR.3003807.NC_000913.3.485760_486408.3575
reads	srst2	cysB	cysB.3003840.NC-000913.3.1333854-1334829.3604	98.051	4.325	6snp19holes	edge2.0	0.628	975	0.5	490	1736	cysB.3003840.NC_000913.3.1333854_1334829.3604
reads	srst2	parE-1	parE.3003316.NC-007779.3172159-3174052.2073	100.0	10.121	48snp	edge2.0	2.536	1893	0.4	731	2008	parE.3003316.NC_007779.3172159_3174052.2073
reads	srst2	murA-12	murA.3003775.CP009072.1414817-1416077.3548	100.0	9.726	18snp		1.429	1260	0.25	690	1971	murA.3003775.CP009072.1414817_1416077.3548
reads	srst2	tolC	tolC.3000237.FJ768952.0-1488.563	94.96	9.694	19snp75holes	edge0.0	1.345	1488	0.308	837	2151	tolC.3000237.FJ768952.0_1488.563
reads	srst2	Escherichia-coli-mutant	Escherichia-coli-mutant.3003890.HG738867.2934266-2935658.3667	100.0	9.527	9snp	edge2.0	0.647	1392	0.5	183	526	Escherichia_coli_mutant.3003890.HG738867.2934266_2935658.3667
reads	srst2	evgS	evgS.3000833.U00096.2484373-2487967.178	99.416	7.796	88snp21holes	edge0.0	2.463	3594	0.143	542	1799	evgS.3000833.U00096.2484373_2487967.178
reads	srst2	PmrE	PmrE.3003577.U00096.2098446-2099613.2116	98.029	5.017	36snp23holes	edge1.0	3.147	1167	0.333	323	1123	PmrE.3003577.U00096.2098446_2099613.2116
reads	srst2	evgA	evgA.3000832.NC-002695.3211891-3212506.208	98.537	6.544	5snp9holes	edge1.0	0.825	615	0.167	541	1798	evgA.3000832.NC_002695.3211891_3212506.208
reads	srst2	patA	patA.3000024.NC-000913.3.3219493-3220873.3692	96.739	8.591	2snp45holes	edge0.0	0.15	1380	0.4	735	2012	patA.3000024.NC_000913.3.3219493_3220873.3692
